species,taxon,studytype,temporal.repl,spatial.repl,id.repl,traitclass,traitname,ntraits,fit.comp,nfit.measures,fitness.measure,beta,se.beta,s,se.s,N,sex.or.group,authors,year,journal,vol:p-p,id.study,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Width,5,F,5,Clutches produced,0.19,0.13,0.05,NA,13,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Depth,5,F,5,production of offspring that later bred,-0.57,0.32,-0.21,NA,36,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Length,5,F,5,production of offspring that later bred,0.43,0.19,0.17,NA,36,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza conirostris,vert,L,1,1,1,MO,Bill Width,5,F,5,production of offspring that later bred,0.13,0.29,-0.16,NA,36,F,Grant,1985,Evolution,39:523-532,CEH2,
Geospiza fortis,vert,L,1,1,1,MO,Beak Depth,3,M,1,Mating success,0.26,0.1,NA,NA,92,M,Price,1984,Evolution,38:327-341,CEH3,
Geospiza fortis,vert,L,1,1,1,BE,Territory Area,3,M,1,Mating success,0.3,0.1,NA,NA,92,M,Price,1984,Evolution,38:327-341,CEH3,
Geospiza fortis,vert,L,1,1,1,MO,Plumage,3,M,1,Mating success,0.24,0.1,NA,NA,92,M,Price,1984,Evolution,38:327-341,CEH3,
Geospiza fortis,vert,L,1,1,1,MO,Beak Depth,3,M,1,Mating success,0.4,0.14,NA,NA,57,M,Price,1984,Evolution,38:327-341,CEH3,
Geospiza fortis,vert,L,1,1,1,BE,Territory Area,3,M,1,Mating success,0.24,0.14,NA,NA,57,M,Price,1984,Evolution,38:327-341,CEH3,
Geospiza fortis,vert,L,1,1,1,MO,Plumage,3,M,1,Mating success,0.26,0.14,NA,NA,57,M,Price,1984,Evolution,38:327-341,CEH3,
Cottus bairdi,vert,L,3,1,1,MO,body length,1,M,2,mating success,NA,NA,0.368,NA,NA,M,Downhower et al.,1987,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,1,MO,body length,1,F,2,hatching success,NA,NA,-0.108,NA,NA,M,Downhower et al.,1988,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,1,MO,body length,1,F,2,Total,NA,NA,0.26,NA,NA,M,Downhower et al.,1989,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,2,MO,body length,1,M,2,mating success,NA,NA,0.438,NA,NA,M,Downhower et al.,1990,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,2,MO,body length,1,F,2,hatching success,NA,NA,0.117,NA,NA,M,Downhower et al.,1991,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,2,MO,body length,1,F,2,Total,NA,NA,0.555,NA,NA,M,Downhower et al.,1992,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,3,MO,body length,1,M,2,mating success,NA,NA,0.384,NA,NA,M,Downhower et al.,1993,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,3,MO,body length,1,F,2,hatching success,NA,NA,0.076,NA,NA,M,Downhower et al.,1994,Evolution,41:1386-1394,CEH4,
Cottus bairdi,vert,L,3,1,3,MO,body length,1,F,2,Total,NA,NA,0.46,NA,NA,M,Downhower et al.,1995,Evolution,41:1386-1394,CEH4,
Melospiza melodia,vert,L,1,1,1,MO,weight,8,S,2,overwinter survival,0.08,NA,0.01,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,wing length,8,S,2,overwinter survival,0.08,NA,0.08,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,tarsus length,8,S,2,overwinter survival,-0.32,NA,-0.32,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,beak length,8,S,2,overwinter survival,0.18,NA,0.24,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,beak depth,8,S,2,overwinter survival,-0.1,NA,0.02,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,beak width,8,S,2,overwinter survival,0.08,NA,0.17,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,4,1,2,PC,Principal Component 2: MO,8,S,2,overwinter survival,NA,NA,-0.34,NA,39,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,4,1,3,PC,Principal Component 2: MO,8,S,2,overwinter survival,NA,NA,-0.41,NA,43,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,4,1,c,PC,Principal Component 2: MO,8,S,6,overwinter survival,NA,NA,-0.3,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,5,1,5,PC,Principal Component 2: MO,8,M,2,reproductive success,NA,NA,0.3,NA,57,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,weight,8,M,2,reproductive success,0.12,NA,0.2,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,wing length,8,M,2,reproductive success,-0.14,NA,0.02,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,tarsus length,8,M,2,reproductive success,0.38,NA,0.35,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,beak length,8,M,2,reproductive success,-0.3,NA,-0.23,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,beak depth,8,M,2,reproductive success,0.02,NA,0.01,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Melospiza melodia,vert,L,1,1,1,MO,beak width,8,M,2,reproductive success,0.24,NA,0.12,NA,145,F,Schluter and Smith,1986,Evolution,40:221-231,CEH5,
Agelaius phoeniceus,vert,C,1,1,1,MO,wing length,1,S,1,overwinter survival,NA,NA,-0.06,NA,208,M,Weatherhead et al,1987,Evolution,41:1401-1403,CEH6,
Agelaius phoeniceus,vert,C,1,1,1,MO,wing length,1,S,1,overwinter survival,NA,NA,0.38,NA,169,M,Weatherhead et al,1987,Evolution,41:1401-1403,CEH6,
Agelaius phoeniceus,vert,C,1,1,1,MO,wing length,1,S,1,overwinter survival,NA,NA,-0.13,NA,19,F,Weatherhead et al,1987,Evolution,41:1401-1403,CEH6,
Agelaius phoeniceus,vert,C,1,1,1,MO,wing length,1,S,1,overwinter survival,NA,NA,-0.63,NA,24,F,Weatherhead et al,1987,Evolution,41:1401-1403,CEH6,
Rana catesbeiana,vert,L,1,1,1,MO,body size,1,M,3,mating success,5.674,NA,0.626,NA,38,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Rana catesbeiana,vert,L,1,1,1,MO,body size,1,F,3,fertility per mate,0.805,NA,0.088,NA,38,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Rana catesbeiana,vert,L,1,1,1,MO,body size,1,F,3,offspring survivorship,1.084,NA,0.12,NA,38,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Rana catesbeiana,vert,L,1,1,1,MO,body size,1,T,3,total selection,7.563,NA,0.832,NA,38,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Anolis garmani,vert,L,1,1,1,MO,body size,1,S,2,survivorship,NA,NA,0.186,NA,326,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Anolis garmani,vert,L,1,1,1,MO,body size,1,S,2,survivorship,NA,NA,0.163,NA,333,F,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Anolis garmani,vert,L,1,1,1,MO,body size,1,M,2,copulatory success,NA,NA,0.63,NA,523,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Anolis garmani,vert,L,1,1,1,MO,body size,1,M,2,copulatory success,NA,NA,0.23,NA,651,F,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Chauliognathus pennsylvanicus,invert,C,1,1,1,MO,size (dry weight),1,M,1,copulatory success,NA,NA,0.152,NA,,M,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Chauliognathus pennsylvanicus,invert,C,1,1,1,MO,size (dry weight),1,M,1,copulatory success,NA,NA,0.218,NA,,F,Arnold and Wade,1984,Evolution,38:720-734,CEH7,
Hirundo rustica,vert,L,1,1,1,MO,Tail length,1,S,1,Survival,NA,NA,0.317,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Tail length,1,S,1,Survival,NA,NA,1.15,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Tail length,1,S,1,Survival,NA,NA,0.288,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Tail length,1,S,1,Survival,NA,NA,0.231,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Tail length,1,S,1,Survival,NA,NA,0.028,NA,380,F,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Beak length,1,S,1,Survival,NA,NA,0.03,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Beak width,1,S,1,Survival,NA,NA,0.006,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Beak depth,1,S,1,Survival,NA,NA,0.003,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Wing length,1,S,1,Survival,NA,NA,0.132,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Tarsus length,1,S,1,Survival,NA,NA,0.01,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Tail length,1,S,1,Survival,NA,NA,0.317,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Short tail length,1,S,1,Survival,NA,NA,-0.104,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Badge length,1,S,1,Survival,NA,NA,0.208,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Badge breadth,1,S,1,Survival,NA,NA,0.049,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Hirundo rustica,vert,L,1,1,1,MO,Body mass,1,S,1,Survival,NA,NA,-0.104,NA,380,M,Moller,1991,Proc R Soc Lond B,243:145-148,CMH01,
Geospiza fortis,vert,L,1,1,1,MO,mass,8,S,1,Survival,-0.05,0.1,-0.11,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,wing chord,8,S,1,Survival,-0.02,0.08,-0.08,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,tarsus length,8,S,1,Survival,-0.04,0.08,-0.09,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,bill length,8,S,1,Survival,0.2,0.09,-0.03,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,bill depth,8,S,1,Survival,NA,NA,-0.16,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,bill width,8,S,1,Survival,-0.24,0.09,-0.17,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,PC1 (body size),8,S,1,Survival,NA,NA,-0.12,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza fortis,vert,L,1,1,1,MO,PC2 (bill shape rel to tarsus),8,S,1,Survival,NA,NA,0.06,NA,386,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,mass,8,S,1,Survival,0.15,0.19,0.19,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,wing chord,8,S,1,Survival,0.13,0.18,0.14,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,tarsus length,8,S,1,Survival,0.04,0.16,0.15,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,bill length,8,S,1,Survival,0.13,0.16,0.16,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,bill depth,8,S,1,Survival,-0.22,0.22,0.06,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,bill width,8,S,1,Survival,0.08,0.21,0.12,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,PC1 (body size),8,S,1,Survival,NA,NA,0.19,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Geospiza scandens,vert,L,1,1,1,MO,PC2 (bill shape rel to tarsus),8,S,1,Survival,NA,NA,0.14,NA,244,A,Grant and Grant,1993,Proc R Soc Lond B,251:111-117,CMH02,
Homo sapiens,vert,C,1,1,1,LH,mothers life span,4,T,1,CH18 (# children surviving 10 18),0.2,NA,0.03,NA,75,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,fathers life span,4,T,1,CH18 (# children surviving 10 18),0,NA,0,NA,75,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,mother age at first repro,4,T,1,CH18 (# children surviving 10 18),-0.51,NA,-0.45,NA,75,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,father age at first repro,4,T,1,CH18 (# children surviving 10 18),-0.09,NA,-0.27,NA,75,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,mothers life span,4,T,1,CH18 (# children surviving 10 18),0.3,NA,0.23,NA,183,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,fathers life span,4,T,1,CH18 (# children surviving 10 18),0.08,NA,0.16,NA,183,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,mother age at first repro,4,T,1,CH18 (# children surviving 10 18),-0.57,NA,-0.58,NA,183,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,father age at first repro,4,T,1,CH18 (# children surviving 10 18),-0.13,NA,-0.26,NA,183,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,mothers life span,4,T,1,CH18 (# children surviving 10 18),0.32,NA,0.29,NA,137,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,fathers life span,4,T,1,CH18 (# children surviving 10 18),0.18,NA,0.27,NA,137,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,mother age at first repro,4,T,1,CH18 (# children surviving 10 18),-0.42,NA,-0.4,NA,137,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Homo sapiens,vert,C,1,1,1,LH,father age at first repro,4,T,1,CH18 (# children surviving 10 18),-0.08,NA,-0.05,NA,137,A,Kaar et al.,1996,Proc R Soc Lond B,263:1475-1480,CMH03,
Cordylochernes scorpioides,invert,L,1,1,1,MO,PC1PALP(chelipeds),2,M,1,#of offspring sired,0.95,NA,0.57,NA,44,M,Zeh et al.,1997,Proc R Soc Lond B,264:119-125,CMH04,
Cordylochernes scorpioides,invert,L,1,1,1,MO,PC2CEPH (chephalothorax),2,M,1,#of offspring sired,-0.42,NA,0.41,NA,44,M,Zeh et al.,1997,Proc R Soc Lond B,264:119-125,CMH04,
Taeniopygia guttata,vert,L,1,1,1,MO,Bill color,1,T,1,# of offspring fledged,NA,NA,0.244,NA,34,M,Price,1996,Proc R Soc Lond B,263:217-221,CMH05,
Taeniopygia guttata,vert,L,1,1,1,MO,bill color,1,T,1,# of offspring fledged,NA,NA,-0.331,NA,34,F,Price,1996,Proc R Soc Lond B,263:217-221,CMH05,
Aquarius remigis,invert,C,2,1,1,MO,Total length,8,M,2,Mating >15 minutes (yes/no),NA,NA,0.32,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Thorax Length,8,M,2,Mating >15 minutes (yes/no),0.077,NA,0.186,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Abdomen Length,8,M,2,Mating >15 minutes (yes/no),0.036,NA,0.327,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Genital Length,8,M,2,Mating >15 minutes (yes/no),0.322,NA,0.376,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Hind Femoral Length,8,M,2,Mating >15 minutes (yes/no),0.35,NA,0.163,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Midfemoral Length,8,M,2,Mating >15 minutes (yes/no),-0.499,NA,0.266,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Forefemoral Length,8,M,2,Mating >15 minutes (yes/no),0.46,NA,0.423,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Forefemoral Width,8,M,2,Mating >15 minutes (yes/no),0.219,NA,0.076,NA,242,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Total length,8,M,2,Mating >15 minutes (yes/no),NA,NA,0.051,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Thorax Length,8,M,2,Mating >15 minutes (yes/no),-0.069,NA,0.06,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Abdomen Length,8,M,2,Mating >15 minutes (yes/no),0.014,NA,0.019,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Genital Length,8,M,2,Mating >15 minutes (yes/no),0.423,NA,0.335,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Hind Femoral Length,8,M,2,Mating >15 minutes (yes/no),0.039,NA,0.002,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Midfemoral Length,8,M,2,Mating >15 minutes (yes/no),-0.13,NA,-0.032,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Forefemoral Length,8,M,2,Mating >15 minutes (yes/no),-0.031,NA,-0.005,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Forefemoral Width,8,M,2,Mating >15 minutes (yes/no),0.005,NA,-0.042,NA,214,M,"Preziosi, R. F. and D. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Total length,8,M,2,Annual average # mates/day,NA,NA,0.321,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Thorax Length,8,M,2,Annual average # mates/day,0.094,NA,0.213,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Abdomen Length,8,M,2,Annual average # mates/day,0.144,NA,0.27,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Genital Length,8,M,2,Annual average # mates/day,0.306,NA,0.357,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Hind Femoral Length,8,M,2,Annual average # mates/day,0.127,NA,0.254,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Midfemoral Length,8,M,2,Annual average # mates/day,-0.199,NA,0.263,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Forefemoral Length,8,M,2,Annual average # mates/day,0.17,NA,0.318,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,1,MO,Forefemoral Width,8,M,2,Annual average # mates/day,-0.13,NA,0.174,NA,242,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
Aquarius remigis,invert,C,2,1,2,MO,Total length,8,M,2,Annual average # mates/day,NA,NA,0.034,NA,214,M,"Preziosi, R. F. and D. J. Fairbairn",1996,JEB,9:317-336,dab01,
