Source,Reference,Organisms,Thermoregulation,Log body mass,Dispersal type,Trophic position,Realm,Habitat type,Hemisphere,Longitude,Scale,Grain log area kmsq,Diversity type,Range,Significance,Global richness log S,Measure,N,Slope b,SE b,Intercept,rz,Var rz
Astorga et al. 2003,Ecol Lett 6:420-427,Anomuran crabs,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Pacific,Regional,1.7,Ranges,46,Yes,2.78,S,47,-0.43,0.05,37.35,-1.04,0.02
Astorga et al. 2003,Ecol Lett 6:420-427,Brachyuran crabs,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Regional,1.7,Ranges,44,Yes,3.65,S,45,-5.18,0.24,250.61,-1.81,0.02
Astorga et al. 2003,Ecol Lett 6:420-427,Brachyuran crabs,Ecto,-0.65,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Pacific,Regional,1.7,Ranges,46,Yes,3.65,S,47,-1,0.07,76.43,-1.52,0.02
Attrill et al. 2001,Ecography 24:318-324,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Estuary,Both,Atlantic,Local,,,50,Yes,5,Index,20,-0.01,0,0.88,-0.78,0.06
Badgley and Fox 2000,J Biogeogr 27:1437-1467,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.76,,65,Yes,3.68,S,302,-2.1,0.08,166.7,-1.66,0
Barbour and Brown 1974,Am Nat 108:473-489,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,N,Worldwide,Local,2.6,Alpha,64,No,4.4,Sst,59,0,0,0.1,-0.1,0.02
Barbour and Brown 1974,Am Nat 108:473-489,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,S,Worldwide,Local,3.6,Alpha,15.5,No,4.4,Sst,11,-0.02,0.02,0.3,-0.05,0.13
Barnes and Arnold 2001,Polar Biol 24:447-454,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Atlantic,Local,-5.7,Alpha,10,No,5,Index,9,0.01,0.03,0.99,0.09,0.17
Barnes 2000,Hydrobiologia 440:37-44,Bryozoa,Ecto,-4.5,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Worldwide,Local,-6,Alpha,66,Yes,3.6,S,21,-0.46,0.16,40.45,-0.61,0.06
Barnes 2000,Hydrobiologia 440:37-44,Encrusting zoobenthos,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Worldwide,Local,-6,Alpha,58,Yes,5,S,22,-0.78,0.17,61.2,-0.91,0.05
Beaver 1979,Nature 281:139-141,Coleoptera 2 families,Ecto,-0.35,Flying,Herbivores,Terrestrial,All terrestrial,N,Worldwide,Regional,3.5,Gamma,50,No,3.73,S,3,-8.99,0.99,508.02,-2.9,
Bellwood and Hughes 2001,Science 292:1532-1534,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Indian Ocean,Local,,,33,Yes,3.4,S,113,,,,-0.38,0.01
Bellwood and Hughes 2001,Science 292:1532-1534,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,Both,Indian Ocean,Local,,,33,Yes,4.4,S,113,,,,-0.62,0.01
Blackburn and Gaston 1996,Ecography 19:369-376,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,Both,New World,Regional,5.78,,80,,3.95,S,116,,,,-1.29,0.01
Blackburn and Gaston 1997,Evol Ecol 11:195-204,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.79,,35,Yes,3.95,S,44,-2.45,0.59,277.6,-0.6,0.02
Blackburn and Gaston 1997,Evol Ecol 11:195-204,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.79,,50,No,3.95,S,14,-0.71,0.85,131.46,-0.24,0.09
Blaylock et al. 1998,Can J Zool 76:2262-2273,Metazoan parasites in halibut,Ecto,-5.55,Transfer,Parasite,Marine,Biota,N,Pacific,Local,,Alpha,16,No,3.85,S,336,0.12,,6,0.2,0
Blinn 1993,Ecology 74:1246-1263,Diatoms,Ecto,-8.11,Passive,Autotrophs,Freshwater,Lake,N,New World,Local,,Alpha,19,No,4.3,S,63,0.44,1.33,10.33,0.06,0.02
Blinn 1993,Ecology 74:1246-1263,Diatoms,Ecto,-8.11,Passive,Autotrophs,Freshwater,Lake,N,New World,Local,,Alpha,19,No,4.3,Index,63,0,0.02,3.02,0.02,0.02
Bolton 1994,Bot Mar 37:241-245,Macroalgae,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,N,Worldwide,Regional,,Gamma,80,No,3.48,S,15,-4.33,3.14,638.1,-0.37,0.08
Bolton 1994,Bot Mar 37:241-245,Macroalgae,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,S,Worldwide,Regional,,Gamma,75,No,3.48,S,15,-1.77,3.58,501.8,-0.14,0.08
Boucher 1990,Mar Ecol 11:133-146,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Benthos coastal,N,Worldwide,Local,,Alpha,43,Yes,4.1,Index,22,-0.08,0.07,9.98,-0.25,0.05
Boucher 1990,Mar Ecol 11:133-146,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Benthos coastal,S,Worldwide,Local,,Alpha,43,Yes,4.1,Index,5,-0.06,0.21,4.67,-0.15,0.5
Bowman 1996,Aust J Bot 44:571-580,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,S,Australasia,Local,-3.4,Alpha,14,Yes,4.85,S,15,-0.29,0.07,11.28,-0.98,0.08
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Angiosperms,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,44.65,No,5.37,Sst,38,-0.01,0.01,0.23,-0.28,0.03
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Gymnosperms,Ecto,4.64,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,34.65,No,2.74,Sst,29,0.01,0.01,-0.13,0.12,0.04
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Ferns,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,34.65,Yes,4.04,Sst,27,-0.03,0.01,0.7,-0.43,0.04
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,38.65,Yes,3.69,Sst,28,-0.01,0,0.33,-0.87,0.04
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,34.65,Yes,3.95,Sst,31,-0.01,0.01,0.26,-0.42,0.04
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Amphibians,Ecto,1.06,Mobility,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,37.5,Yes,3.85,Sst,33,-0.02,0,0.45,-0.78,0.03
Box and Fujiwara 2001,"Levin 2001, vol. 1, pp. 261-291",Reptils,Ecto,2.81,Mobility,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,5,Gamma,37.5,Yes,3.68,Sst,27,-0.03,0.01,0.74,-0.9,0.04
Briceno 1992,Brenesia 38:71-75,Dermaptera,Ecto,-2.7,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.95,Gamma,37,No,3.26,S,9,-0.78,0.78,62.64,-0.37,0.17
Briceno 1992,Brenesia 38:71-75,Dermaptera,Ecto,-2.7,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,6.3,Gamma,37,Yes,3.26,S,8,-0.65,0.18,50.69,-1.19,0.2
Briceno 1992,Brenesia 38:71-75,Dermaptera,Ecto,-2.7,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.95,Gamma,37,No,3.26,Higher,9,-0.21,0.25,25.28,-0.31,0.17
Briceno 1992,Brenesia 38:71-75,Dermaptera,Ecto,-2.7,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,6.3,Gamma,37,Yes,3.26,Higher,8,-0.3,0.08,2.07,-1.17,0.2
Briggs 1995,"Data from Sarukhan and Dirzo, in Levin 2001, vol. 1, pp. 419-436",Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,,,58,Yes,3.95,S,13,-8.78,1.04,672.23,-1.67,0.1
Briggs 1995,"Data from Sarukhan and Dirzo, in Levin 2001, vol. 1, pp. 419-436",Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,,,58,Yes,4.85,S,10,-12.99,1.35,860.3,-1.93,0.14
Briggs 1995,"Data from Sarukhan and Dirzo, in Levin 2001, vol. 1, pp. 419-436",Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,,,58,Yes,3.69,S,13,-2.08,0.17,197.95,-2.03,0.1
Brodskij 1959,"Cited in Fischer 1960, Evolution 14:64-81",Copepods,Ecto,-3.74,Passive,Omnivores,Marine,Pelagic ocean,,Worldwide,Regional,,,70,Yes,3.95,S,6,-1.14,0.23,90.6,-1.65,0.33
Buckton and Ormerod 2002,Freshwater Biol 47:695-709,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,Nonforest,Both,Worldwide,Local,,,77,Yes,3.95,S,82,,,,-0.43,0.01
Buzas et al. 2002,Proc Natl Acad Sci USA 99:7841-7843,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Benthos coastal,N,Atlantic,Local,,Alpha,25,Yes,3.63,Index,47,-0.92,0.19,46.18,-0.67,0.02
Callaghan et al. 2001,"Levin 2001, vol. 1, pp. 231-247",Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,2,Gamma,45,Yes,5.37,S,13,-0.57,0.2,46.08,-0.77,0.1
Cardillo 2002,Global Ecol Biogeogr 11:59-65,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.18,Gamma,60,Yes,3.95,S,9,-7.77,1.17,504.06,-1.65,0.17
Castella et al. 2001,Freshwater Biol 46:1811-1831,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Freshwater,Stream,N,Eurafrica,Local,1.77,Alpha,35.5,Yes,5,S,38,-0.47,0.09,37.75,-0.75,0.03
Chown et al. 1998,Ecography 21:342-350,Seabirds,Homeo,2.65,Flying,Carnivores,Marine,Pelagic ocean,N,Worldwide,Regional,5.78,Ranges,13,No,1.95,S,5,-0.75,0.59,33.64,-0.68,0.5
Chown et al. 1998,Ecography 21:342-350,Seabirds,Homeo,2.65,Flying,Carnivores,Marine,Pelagic ocean,S,Worldwide,Regional,5.78,Ranges,49,No,1.95,S,12,0.27,0.15,15.87,0.53,0.11
Clarke and Lidgaard 2000,J Anim Ecol 69:799-814,Bryozoa,Ecto,-4.5,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Atlantic,Local,,Alpha,72.5,No,3.6,S,176,-0.06,0.08,30.39,-0.06,0.01
Clarke and Lidgaard 2000,J Anim Ecol 69:799-814,Bryozoa,Ecto,-4.5,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Atlantic,Local,,Alpha,68.9,No,3.6,S,85,-0.05,0.05,23.44,-0.09,0.01
Clarke and Lidgaard 2000,J Anim Ecol 69:799-814,Bryozoa,Ecto,-4.5,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Atlantic,Regional,,Gamma,70,Yes,3.6,S,15,-1.13,0.53,130.04,-0.56,0.08
Clergeau et al. 2001,J Appl Ecol 38:1122-1134,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,Human,N,Worldwide,Local,-0.67,Alpha,43,No,3.76,S,14,-0.05,0.12,12.6,-0.11,0.09
Clergeau et al. 2001,J Appl Ecol 38:1122-1134,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,Human,N,Worldwide,Local,-0.67,Alpha,43,Yes,3.76,S,18,-0.29,0.12,31.9,-0.56,0.07
Clergeau et al. 2001,J Appl Ecol 38:1122-1134,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,Human,N,Worldwide,Local,-0.67,Alpha,43,Yes,3.76,S,18,-0.44,0.16,43.8,-0.64,0.07
Coates 1998,Global Ecol Biodivers Lett 7:115-124,Molluscs,Ecto,-0.78,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Indian Ocean,Local,,Alpha,23,No,5.11,Mean S,4,0.01,0.1,13.19,0.07,1
Coates 1998,Global Ecol Biodivers Lett 7:115-124,Molluscs,Ecto,-0.78,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Indian Ocean,Local,,Alpha,23,No,5.11,Index,4,-0.01,0.01,1.77,-0.92,1
Cody 2001,Auk 118:443-456,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,,Yes,3.95,Sst,64,-0.57,,17.83,-0.68,0.02
Cody 2001,Auk 118:443-456,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Australasia,Local,,Alpha,,No,3.95,Sst,49,0.03,,-0.76,0.2,0.02
Collins 1989,Data after Rosenzweig 1995,Termites,Ecto,-2.3,Flying,Omnivores,Terrestrial,Forest,,New World,Local,,,35,Yes,3.42,S,16,-1.16,0.22,42.85,-1.13,0.08
Connor and McCoy 1979,Am Nat 113:791-833,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,Both,Worldwide,Local,,,,,3.95,Sst,17,,,,-0.69,0.07
Connor and McCoy 1979,Am Nat 113:791-833,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,All freshwater,Both,Worldwide,Local,,,,,4.4,Sst,4,,,,-0.75,1
Connor and McCoy 1979,Am Nat 113:791-833,Insects,Ecto,-2.72,Flying,Omnivores,Terrestrial,All terrestrial,Both,Worldwide,Local,,,,,6,Sst,5,,,,1.1,0.5
Cook 1969,Syst Zool 18:63-84,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.78,Ranges,53,Yes,3.95,S,26,-4.19,0.64,341.82,-1.1,0.04
Cowlishaw and Hacker 1997,Am Nat 150:505-512,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,5,Ranges,38,Yes,2.37,S,37,-0.19,0.02,5.1,-1.07,0.03
Cowlishaw and Hacker 1997,Am Nat 150:505-512,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Regional,5,Ranges,38,Yes,2.37,S,35,-0.21,0.03,7.47,-1.06,0.03
Cox and Moore 2000,"Biogeography, 6th ed., Blackwell Science, Malden, Mass.",Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,,Ranges,54,Yes,3.95,S,5,-6.03,1.5,573.9,-1.58,0.5
Cox and Moore 2000,"Biogeography, 6th ed., Blackwell Science, Malden, Mass.",Carnivorous mammals,Homeo,4.71,Mobility,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,,Ranges,54,No,3.3,S,3,-0.07,0.03,9.98,-1.64,
Cox and Moore 2000,"Biogeography, 6th ed., Blackwell Science, Malden, Mass.",Herbivorous mammals,Homeo,4.44,Mobility,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,,Ranges,54,No,3.3,S,3,-0.38,0.07,28.46,-2.35,
Crame 2000,Paleobiology 26:188-214,Bivalves,Ecto,-1.1,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Worldwide,Local,,,75,No,4.3,S,18,-6.46,3.14,666.35,-0.49,0.07
Crame 2000,Paleobiology 26:188-214,Bivalves,Ecto,-1.1,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Worldwide,Local,,,65,No,4.3,S,12,-3.27,4.52,481.93,-0.23,0.11
Crow 1993,Aquat Bot 44:229-258,Aquatic angiosperms,Ecto,0.7,Seeds,Autotrophs,Freshwater,All freshwater,N,New World,Regional,5,Gamma,42,Yes,3.48,S,6,1.06,0.29,35.68,1.37,0.33
Culver and Buzas 2000,Deepâ€êSea Res Part I 47:259-275,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Deep sea,N,Atlantic,Local,,Alpha,61,Yes,3.63,S,24,-0.22,0.04,26.69,-0.91,0.05
Culver and Buzas 2000,Deepâ€êSea Res Part I 47:259-275,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Deep sea,N,Atlantic,Local,,Alpha,61,Yes,3.63,S,24,-0.88,0.1,88.39,-1.42,0.05
Culver and Buzas 2000,Deepâ€êSea Res Part I 47:259-275,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Deep sea,N,Atlantic,Local,,Alpha,61,Yes,3.63,Index,24,-0.12,0.02,11.91,-0.94,0.05
Culver and Buzas 2000,Deepâ€êSea Res Part I 47:259-275,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Deep sea,N,Atlantic,Local,,Alpha,61,Yes,3.63,Index,24,-0.36,0.05,33.58,-1.25,0.05
Culver and Buzas 2000,Deepâ€êSea Res Part I 47:259-275,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Deep sea,S,Atlantic,Local,,Alpha,65,Yes,3.63,S,69,-0.34,0.05,58.15,-0.75,0.02
Culver and Buzas 2000,Deepâ€êSea Res Part I 47:259-275,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Deep sea,S,Atlantic,Local,,Alpha,65,Yes,3.63,Index,69,-0.1,0.02,18.9,-0.52,0.02
Culver 2001,"Levin 2001, vol. 5, pp. 527-540",Stygobites,Ecto,-2,Mobility,Omnivores,Terrestrial,Cave,Both,Worldwide,Local,,Alpha,41,Yes,,S,20,0.55,0.23,0.29,1.06,0.06
Culver 2001,"Levin 2001, vol. 5, pp. 527-540",Tryglobites,Ecto,-2,Mobility,Omnivores,Terrestrial,Cave,Both,Worldwide,Local,,Alpha,41,No,,S,20,-0.24,0.24,21.83,0.23,0.06
Currie and Paquin 1987,Data from Huston 1994,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,N,New World,Regional,4.82,Ranges,35,Yes,4.85,S,27,-3.6,0.59,225.08,-1.03,0.04
Currie 1991,Am Nat 137:27-49,Amphibians,Ecto,1.06,Mobility,Omnivores,Terrestrial,Nonforest,N,New World,Regional,4.82,Ranges,50,Yes,3.68,S,337,,,,-1.42,0
Currie 1991,Am Nat 137:27-49,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Ranges,50,Yes,3.95,S,337,,,,-0.69,0
Currie 1991,Am Nat 137:27-49,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Ranges,50,Yes,3.68,S,337,,,,-0.98,0
Currie 1991,Am Nat 137:27-49,Reptils,Ecto,2.81,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.82,Ranges,50,Yes,3.85,S,337,,,,-1.86,0
Currie 1991,Am Nat 137:27-49,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,N,New World,Regional,4.82,Ranges,50,Yes,4.85,S,337,,,,-1.27,0
Cushman et al. 1993,Oecologia (Berl) 95:30-37,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,3.4,Alpha,15.5,Yes,3.78,S,70,-1.31,0.24,104.98,-0.63,0.01
Davidowitz and Rosenzweig 1998,J Biogeogr 25:553-560,Grasshoppers,Ecto,-1.05,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,3.6,Alpha,59,Yes,2.48,S,52,-0.8,0.25,80.09,-0.44,0.02
De Vries 2001,"Levin 2001, vol. 1, pp. 559-579",Butterflies,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Local,2,Alpha,44,Yes,4.2,S,5,-13.88,2.88,594.94,-1.75,0.5
Dexter 1992,J Biogeogr 19:59-66,Zoobenthos,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Worldwide,Local,,Alpha,60,No,5,Mean S,4,0.2,0.05,15.54,1.76,1
Dexter 1992,J Biogeogr 19:59-66,Zoobenthos,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Worldwide,Local,,Alpha,60,No,5,Index,4,0.02,0.01,1.84,0.78,1
Dickman 1989,"Cited in C. J. Krebs 2001, Ecology, 5th ed., Cummings, San Francisco",Marsupials,Homeo,1.7,Mobility,Carnivores,Terrestrial,All terrestrial,S,Australasia,Regional,,Ranges,20,No,2.44,Sst,14,0.03,0.1,3.67,0.07,0.09
Dingle et al. 2000,Oecologia (Berl) 124:196-207,Lepidoptera,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Australasia,Regional,,Ranges,11,No,5.2,S,6,0.62,0.88,17.68,0.35,0.33
Dingle et al. 2000,Oecologia (Berl)124:196-207,Lepidoptera,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Australasia,Regional,,Ranges,20,No,5.2,S,20,-0.47,1.01,46.88,-0.11,0.06
Dingle et al. 2000,Oecologia (Berl) 124:196-207,Lepidoptera,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Australasia,Regional,,Ranges,20,Yes,5.2,S,6,-6.21,1.37,355.2,-1.56,0.33
Dinizâ€êFilho et al. 2002,Ecol Lett 5:47-55,Falconiformes,Homeo,3,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,,Ranges,55,Yes,2.15,S,28,-0.32,0.08,31.82,-0.73,0.04
Dinizâ€êFilho et al. 2002,Ecol Lett 5:47-55,Strigiformes,Homeo,2.45,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,,Ranges,55,Yes,1.78,S,28,-0.05,0.02,9.47,-0.45,0.04
Dobshanzky 1950,Am Sci 38:208-221,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,,Gamma,66,Yes,3.95,S,8,-29.77,8.19,1676.1,-1.18,0.2
Dobshanzky 1950,Am Sci 38:208-221,Snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,Both,New World,Regional,,Gamma,45,Yes,3.4,S,4,-5.16,1.19,349.96,-1.84,1
Dodson 1991,Verh Int Ver Theor Angew Limnol 24:1223-1229,Zooplankton,Ecto,-4.56,Passive,Herbivores,Freshwater,Lake,N,Eurafrica,Local,0.03,Alpha,36,No,4.11,S,32,0.07,0.11,7.6,0.12,0.03
Dodson 1992,Limnol Oceanogr 37:848-856,Zooplankton,Ecto,-4.56,Passive,Microbivores,Freshwater,Lake,N,New World,Local,1,Alpha,46.7,,4.11,Sst,66,,,,0.09,0.02
Dodson et al. 2000,Ecology 81:2662-2679,Aquatic vascular plants,Ecto,0.7,Seeds,Autotrophs,Freshwater,Lake,N,Worldwide,Local,0.33,Alpha,66,No,3.48,S,22,-0.3,0.29,30.76,-0.23,0.05
Dodson et al. 2000,Ecology 81:2662-2679,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,N,Worldwide,Local,0.33,Alpha,66,Yes,4.4,S,33,-0.59,0.26,45.83,-0.4,0.03
Dodson et al. 2000,Ecology 81:2662-2679,Phytoplankton,Ecto,-9.41,Passive,Autotrophs,Freshwater,Lake,N,Worldwide,Local,0.33,Alpha,66,Yes,5,S,21,1.86,0.81,37.65,0.5,0.06
Dodson et al. 2000,Ecology 81:2662-2679,Cladocera,Ecto,-3.74,Passive,Herbivores,Freshwater,Lake,N,Worldwide,Local,0.33,Alpha,66,No,2.9,S,33,-0.08,0.05,11.3,-0.27,0.03
Dodson et al. 2000,Ecology 81:2662-2679,Rotifers,Ecto,-6.19,Passive,Microbivores,Freshwater,Lake,N,Worldwide,Local,0.33,Alpha,66,No,3.18,S,28,-0.39,0.21,39.2,-0.35,0.04
Dodson et al. 2000,Ecology 81:2662-2679,Copepods,Ecto,-3.74,Passive,Omnivores,Freshwater,Lake,N,Worldwide,Local,0.33,Alpha,66,No,3.9,S,33,-0.01,0.03,5.97,-0.07,0.03
Dolan et al. 2002,Deepâ€êSea Res I 49:1217-1232,Tintinnid ciliates,Ecto,-6.2,Passive,Microbivores,Marine,Pelagic ocean,N,Atlantic,Local,-1.28,Alpha,11,No,,S,10,0.49,0.39,1.31,0.43,0.14
